,file_name,faceX,faceY,face_width,face_height,angry,disgust,fear,happy,sad,surprise,neutral
41,"12_angry_men.jpg
",1141,223,117,117,0.06442705,6.3052685e-06,0.011036776,0.0011798991,0.109495826,0.0014319603,0.81242216
42,"12_angry_men.jpg
",854,349,181,181,0.26892233,0.17271863,0.018985603,0.0004993039,0.4230897,0.0024027259,0.113381766
43,"face1.jpg
",160,135,291,291,0.00022504399,2.5151854e-05,0.00029321585,0.9952867,0.0011010846,0.00014989189,0.00291892
44,"robocup_team.png
",306,349,112,112,0.0026629523,0.00011967222,0.005373538,0.8866305,0.0010711426,0.00779157,0.096350685
45,"robocup_team.png
",844,373,109,109,0.005839347,0.00011804897,0.007410909,0.61324304,0.018691283,0.0035971503,0.3511002
46,"robocup_team.png
",577,423,103,103,0.01170743,0.0009617631,0.054358028,0.66872346,0.1266503,0.02453476,0.11306424
47,"robocup_team.png
",1187,400,106,106,0.002439507,0.00024051838,0.0029834304,0.9730156,0.00034402337,0.0001978888,0.02077903
48,"robocup_team.png
",781,862,559,559,0.12601663,4.996701e-06,0.26323664,0.0069698086,0.21525948,0.015233301,0.37327918
49,"solvay_conference.jpg
",592,60,103,103,0.089248225,1.9154695e-05,0.027794372,0.004512884,0.44560137,0.00072490756,0.43209907
50,"solvay_conference.jpg
",853,68,104,104,0.18274565,0.000406971,0.06287596,0.021586012,0.53730094,0.0005229325,0.1945616
51,"solvay_conference.jpg
",224,70,124,124,0.033075847,9.066696e-05,0.06750598,0.021356482,0.20297997,0.023580445,0.65141064
52,"solvay_conference.jpg
",37,175,113,113,0.8346392,0.00016482272,0.03623239,0.005030231,0.06458553,0.0009046828,0.058443006
53,"solvay_conference.jpg
",763,164,123,123,0.10243296,0.0017359258,0.017266821,0.029729879,0.5926576,0.015045934,0.24113087
54,"solvay_conference.jpg
",361,175,139,139,0.30132058,0.002210822,0.0542468,0.011852107,0.15800421,0.029012034,0.44335347
55,"demo_results.png
",1016,44,62,62,0.090229355,0.000115943534,0.108848326,0.009004552,0.4999074,0.0012423852,0.29065207
56,"demo_results.png
",1172,48,62,62,0.21520238,0.0003783208,0.08518226,0.019913554,0.58763504,0.0005480331,0.09114051
57,"demo_results.png
",1117,105,72,72,0.12720922,0.000791161,0.025990065,0.03839517,0.63728946,0.0083187595,0.16200617
58,"demo_results.png
",798,49,73,73,0.09303581,5.4666954e-05,0.07370701,0.0729438,0.12612796,0.01776551,0.61636525
59,"demo_results.png
",391,58,110,110,0.0005281105,1.6377177e-06,0.0004347509,0.97686815,0.00053936976,2.756124e-05,0.021600349
60,"demo_results.png
",690,115,61,61,0.70446324,0.00029412765,0.14444116,0.023594486,0.09746923,0.0006453027,0.02909257
61,"demo_results.png
",89,88,97,97,0.0007596018,3.7095277e-05,0.0069117434,0.0283903,7.470982e-05,0.9637065,0.0001200185
62,"demo_results.png
",880,114,80,80,0.39432403,0.005972729,0.040356796,0.019662686,0.12929772,0.033084538,0.37730157
63,"demo_results.png
",86,344,108,108,0.20960727,6.121348e-05,0.11633797,0.0025113316,0.55459696,0.00016268082,0.11672254
64,"demo_results.png
",405,366,123,123,0.8086113,0.0989507,0.033468906,0.0019030675,0.034000456,0.00053182186,0.022533625
